Experiment,Best round,Best val Acc,Final val Acc,Best test Acc,Final test Acc
fedavg_iid_r20,15,0.8252,0.8138,0.8,0.8029
fedprox_iid_r20,20,0.851,0.851,0.8057,0.8057
